City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Male,MV,84.15,few clouds,4.1748,73.5089,Hotel Octave Maldives
6,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
8,Maragogi,BR,81.28,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
11,Mabaruma,GY,79.84,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
16,Yenagoa,NG,77.81,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
19,Khuzdar,PK,79.7,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
46,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
52,Nanchang,CN,79.74,light rain,28.6833,115.8833,Gloria Plaza Hotel Nanchang
54,Itarema,BR,87.66,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
56,Guerrero Negro,MX,79.99,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
58,Port Blair,IN,80.31,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
62,Atuona,PF,77.47,broken clouds,-9.8,-139.0333,Villa Enata
63,Emilio Carranza,MX,83.88,scattered clouds,19.9711,-96.6114,casa carranza
70,Hambantota,LK,80.85,few clouds,6.1241,81.1185,Bungalow 63
72,Vila Velha,BR,87.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
75,Carutapera,BR,89.04,broken clouds,-1.195,-46.02,Lidera
76,Mindelo,CV,87.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
78,Bethel,US,76.5,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
80,Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Kirari Guest House
83,Kavieng,PG,81.03,few clouds,-2.5744,150.7967,Nusa Island Retreat
90,Acevedo,CO,80.1,few clouds,1.8361,-75.855,Finca San Pedro
91,Tulum,MX,86.99,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
99,Brits,ZA,76.32,clear sky,-25.6347,27.7802,By Die Vlei
101,Dingle,PH,75.74,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
106,Celestun,MX,87.93,broken clouds,20.8667,-90.4,Posada Lilia
107,Les Cayes,HT,81.14,overcast clouds,18.2,-73.75,Villa Orphee
111,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
