,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Male,MV,4.1748,73.5089,84.15,79,20,17.27,few clouds
1,Punta Arenas,CL,-53.15,-70.9167,48.31,66,40,31.07,light intensity shower rain
2,Bluff,NZ,-46.6,168.3333,44.8,85,100,21.97,light rain
3,Vaini,TO,-21.2,-175.2,74.03,79,97,21.16,overcast clouds
4,Busselton,AU,-33.65,115.3333,45.09,60,92,4.09,overcast clouds
5,Merritt Island,US,28.5392,-80.672,88.27,55,40,6.91,scattered clouds
6,Nouadhibou,MR,20.931,-17.0347,78.78,69,3,18.41,clear sky
7,Sungaipenuh,ID,-2.0833,101.3833,65.44,97,100,0.96,overcast clouds
8,Maragogi,BR,-9.0122,-35.2225,81.28,69,24,11.99,few clouds
9,Hilo,US,19.7297,-155.09,71.62,78,40,6.91,light rain
10,Zhigansk,RU,66.7697,123.3711,25.81,85,30,6.24,scattered clouds
11,Mabaruma,GY,8.2,-59.7833,79.84,88,100,4.03,overcast clouds
12,Nakamura,JP,32.9833,132.9333,65.25,90,0,2.8,clear sky
13,Tasiilaq,GL,65.6145,-37.6368,41.16,53,0,7.54,clear sky
14,Jamestown,US,42.097,-79.2353,69.3,100,90,8.05,overcast clouds
15,Severo-Kurilsk,RU,50.6789,156.125,47.57,85,69,40.11,broken clouds
16,Yenagoa,NG,4.9247,6.2642,77.81,87,100,6.29,moderate rain
17,Cidreira,BR,-30.1811,-50.2056,65.7,89,100,11.01,light rain
18,Yumen,CN,40.2833,97.2,44.47,34,98,10.36,overcast clouds
19,Khuzdar,PK,27.7384,66.6434,79.7,21,8,8.3,clear sky
20,Luderitz,NA,-26.6481,15.1594,63.95,46,0,28.77,clear sky
21,Port Arthur,CN,38.8,121.2667,71.82,97,100,7.43,moderate rain
22,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,33,16.44,scattered clouds
23,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,47,0,4.61,clear sky
24,Rusera,IN,25.75,86.0333,74.55,91,100,2.93,overcast clouds
25,Bonavista,CA,48.6499,-53.1147,61.12,88,93,8.72,overcast clouds
26,Coihaique,CL,-45.5752,-72.0662,50.61,61,90,6.91,light intensity shower rain
27,Ushuaia,AR,-54.8,-68.3,51.46,43,75,17.27,light rain
28,Albany,US,42.6001,-73.9662,67.32,86,100,0.81,overcast clouds
29,Tura,IN,25.5198,90.2201,72.5,97,30,4.29,moderate rain
30,Upernavik,GL,72.7868,-56.1549,33.49,61,100,2.42,overcast clouds
31,Constitucion,CL,-35.3333,-72.4167,58.77,50,0,18.86,clear sky
32,Viedma,AR,-40.8135,-62.9967,61.21,29,1,16.13,clear sky
33,Loiza,PR,18.4313,-65.8802,91.38,61,75,16.11,haze
34,Vila,PT,42.0304,-8.1588,53.33,64,62,7.78,broken clouds
35,Ourossogui,SN,15.6064,-13.3211,98.6,39,0,4.61,clear sky
36,Mahebourg,MU,-20.4081,57.7,72.25,88,75,12.66,light rain
37,Shache,CN,38.4167,77.2406,63.23,23,90,18.84,overcast clouds
38,Torbay,CA,47.6666,-52.7314,61.75,75,75,4.61,broken clouds
39,Kodiak,US,57.79,-152.4072,36.91,65,1,13.8,clear sky
40,Longyearbyen,SJ,78.2186,15.6401,39.04,87,75,3.44,light rain
41,Birjand,IR,32.8663,59.2211,64.87,19,0,6.91,clear sky
42,Chuy,UY,-33.6971,-53.4616,62.42,61,97,11.54,overcast clouds
43,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,17.27,mist
44,Rikitea,PF,-23.1203,-134.9692,72.97,65,6,16.55,clear sky
