City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2021-09-22 22:28:27,3.0707,172.7902,82.72,67,97,15.19
1,Mehamn,NO,2021-09-22 22:28:27,71.0357,27.8492,47.5,83,100,23.98
2,Rikitea,PF,2021-09-22 22:28:28,-23.1203,-134.9692,73.47,75,38,19.53
3,Kachug,RU,2021-09-22 22:28:28,53.9606,105.8817,34.2,93,63,2.68
4,Hambantota,LK,2021-09-22 22:28:28,6.1241,81.1185,79.99,83,40,14.67
5,Saint-Philippe,RE,2021-09-22 22:28:29,-21.3585,55.7679,67.55,83,43,11.05
6,Albany,US,2021-09-22 22:26:18,42.6001,-73.9662,76.64,78,88,11.1
7,Ushuaia,AR,2021-09-22 22:28:30,-54.8,-68.3,44.22,87,75,28.77
8,Tuktoyaktuk,CA,2021-09-22 22:28:30,69.4541,-133.0374,35.6,64,75,18.41
9,Nikolskoye,RU,2021-09-22 22:28:30,59.7035,30.7861,46.29,72,100,3.11
10,Clyde River,CA,2021-09-22 22:28:31,70.4692,-68.5914,30.43,93,90,12.66
11,Mar Del Plata,AR,2021-09-22 22:25:24,-38.0023,-57.5575,55.42,88,90,8.05
12,Umm Kaddadah,SD,2021-09-22 22:28:31,13.6017,26.6876,88.39,39,9,10.02
13,Sao Filipe,CV,2021-09-22 22:28:31,14.8961,-24.4956,79.14,81,22,6.51
14,Ostrovnoy,RU,2021-09-22 22:28:32,68.0531,39.5131,39.81,76,100,23.06
15,Coro,VE,2021-09-22 22:28:32,11.4045,-69.6734,85.66,72,100,17.76
16,Newport,GB,2021-09-22 22:28:33,51.5877,-2.9984,61.34,91,35,6.04
17,Broome,US,2021-09-22 22:28:33,42.2506,-75.833,72.86,82,90,4.0
18,Vaini,TO,2021-09-22 22:28:33,-21.2,-175.2,77.16,83,40,10.36
19,Camocim,BR,2021-09-22 22:28:34,-2.9022,-40.8411,79.72,79,99,16.49
20,Bredasdorp,ZA,2021-09-22 22:28:34,-34.5322,20.0403,59.29,93,61,1.14
21,Coquimbo,CL,2021-09-22 22:28:34,-29.9533,-71.3436,58.73,67,0,10.36
22,Kruisfontein,ZA,2021-09-22 22:28:35,-34.0033,24.7314,57.47,72,76,5.86
23,Arlit,NE,2021-09-22 22:28:20,18.7369,7.3853,94.59,11,26,8.46
24,Qaanaaq,GL,2021-09-22 22:28:35,77.484,-69.3632,11.25,62,10,7.27
25,Ekhabi,RU,2021-09-22 22:28:35,53.5102,142.9671,49.06,83,47,8.21
26,Sept-Iles,CA,2021-09-22 22:25:15,50.2001,-66.3821,63.25,83,90,0.0
27,Hilo,US,2021-09-22 22:24:53,19.7297,-155.09,81.81,67,75,5.75
28,Hermanus,ZA,2021-09-22 22:28:36,-34.4187,19.2345,67.89,66,47,11.65
29,La Grande,US,2021-09-22 22:28:36,45.3246,-118.0877,75.51,33,95,12.86
30,Atuona,PF,2021-09-22 22:28:34,-9.8,-139.0333,77.88,72,20,19.44
31,Portland,US,2021-09-22 22:27:00,45.5234,-122.6762,73.53,64,90,1.01
32,Kommunar,RU,2021-09-22 22:28:37,59.6206,30.39,45.93,73,100,3.0
33,Novokorsunskaya,RU,2021-09-22 22:28:37,45.6408,39.1464,53.82,73,100,4.25
34,Mataura,NZ,2021-09-22 22:28:38,-46.1927,168.8643,53.47,48,5,3.53
35,Dombarovskiy,RU,2021-09-22 22:28:38,50.7587,59.5386,49.62,36,100,5.44
36,Puerto Ayora,EC,2021-09-22 22:28:38,-0.7393,-90.3518,76.96,84,75,10.56
37,Meulaboh,ID,2021-09-22 22:28:39,4.1363,96.1285,75.42,91,98,4.21
38,Ribeira Grande,PT,2021-09-22 22:28:39,38.5167,-28.7,71.8,77,9,15.59
39,Provideniya,RU,2021-09-22 22:28:39,64.3833,-173.3,33.91,60,0,2.24
40,Busselton,AU,2021-09-22 22:28:40,-33.65,115.3333,52.09,92,0,9.53
41,Kaitangata,NZ,2021-09-22 22:28:40,-46.2817,169.8464,54.23,50,3,4.32
42,Minot,US,2021-09-22 22:27:36,48.2325,-101.2963,81.59,19,3,8.01
43,Acapulco,MX,2021-09-22 22:24:53,16.8634,-99.8901,87.62,79,20,10.36
44,Souillac,MU,2021-09-22 22:28:40,-20.5167,57.5167,70.36,78,40,11.5
45,Xining,CN,2021-09-22 22:28:41,36.6167,101.7667,48.02,81,2,2.17
46,Chokurdakh,RU,2021-09-22 22:28:21,70.6333,147.9167,29.59,74,91,1.07
47,Yellowknife,CA,2021-09-22 22:28:41,62.456,-114.3525,50.52,81,90,8.05
48,Khandbari,NP,2021-09-22 22:28:41,27.3747,87.2039,69.01,89,94,1.79
49,Sembakung,ID,2021-09-22 22:28:42,3.8167,117.25,78.73,99,92,1.63
50,Punta Arenas,CL,2021-09-22 22:28:42,-53.15,-70.9167,44.71,70,40,11.5
